,id,name,cpu,cpu_rank,ram,disk,gpu,is_rtx,gpu_memory,price,disk_detail,weight,battery,weight_type,screen_size,battery_life,has_camere,keyboard,keyboard_haslight,description,video_type,thin_type,business_type,game_type,is_apple,link,img_src
0,0,HUAWEI MateBook 14 2020款,Intel 酷睿i7 10510U,i7,16,512GB,NVIDIA Geforce MX250,0.0,2,7399,固态硬盘,1.53Kg,15小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,背光键盘，全尺寸巧克力键盘,1,"轻薄笔记本,商务办公本,",0,1,1,0,0,http://detail.zol.com.cn/1311/1310254/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/0D/ChMlWV44-lCIKfnKAADRJrmMDSsAANM_gFmm6AAANE-562.jpg
1,1,惠普暗影精灵5,Intel 酷睿i7 9750H,i7,8,512GB,NVIDIA GeForce RTX 2060,RTX2060,6,8499,PCIe NVMe M.2 SSD固态硬盘,2.32Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,带数字小键盘的全尺寸岛式火龙红传奇2区照明红背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1236/1235182/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/00/0F/ChMlWVzasnKIT4eLAADfKydxcw0AAJ9kwEI1ZUAAN9D112.jpg
2,2,联想小新 Pro 13,0,0,0,No description,No description,0,0,0,0,1.28Kg,9.5小时左右，视具体使用环境而定,medium,0,long,True,NO SPECIAL,0,0,0,0,0,0,0,http://detail.zol.com.cn/1292/1291172/param.shtml,//icon.zol-img.com.cn/param20140526/16/36.jpg
3,3,戴尔G7游戏本（7590）,Intel 酷睿i7 8750H,i7,8,128GB+1T,NVIDIA GeForce RTX 2060,RTX2060,6,13299,混合硬盘（SSD+5400转HDD）>,2.62Kg,视具体使用环境而定长续航笔记本>,heavy,0,0,True,RGB背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1251/1250357/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0F/06/ChMlWV0tmeGIOLhFAAFmdtBlJHkAAL2-ADE17sAAWaO749.jpg
4,4,苹果MacBook Pro（Retina屏）15.4英寸,Intel 酷睿i7 4770HQ,i7,16,256GB,Intel GMA HD（集成于处理器）>,0,0,18988,PCIe闪存,2.04Kg,10小时左右，视具体使用环境而定长续航笔记本>,heavy,15.4,long,True,背光键盘,1,"轻薄笔记本,商务办公本,",0,1,1,0,1,http://detail.zol.com.cn/402/401365/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
5,5,苹果MacBook Air 13.3英寸（Skylake）,Intel 酷睿i5 5350U,i5,8,128GB,Intel HD Graphics 6000,0,0,0,PCIe闪存,1.35Kg,12小时左右，视具体使用环境而定长续航笔记本>,medium,13.3,long,True,背光键盘，全尺寸键盘>,1,"轻薄笔记本,",0,1,0,0,1,http://detail.zol.com.cn/1174/1173290/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
6,6,戴尔XPS 17(9700),Intel 酷睿i7 10875H,i7,16,512GB,NVIDIA GeForce RTX 2060 Max-Q,RTX2060,6,23999,SSD固态硬盘>,2.51Kg,23小时左右，视具体使用环境而定长续航笔记本>,heavy,0,long,True,背光键盘,1,"轻薄笔记本,商务办公本,",0,1,1,0,0,http://detail.zol.com.cn/1328/1327567/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g3/M02/0C/09/ChMlV17jLvmIdLzEAAEvnbFagdsAAUrmQN3RzYAAS-1474.jpg
7,7,华硕飞行堡垒7,Intel 酷睿i7 9750H,i7,8,512GB,NVIDIA GeForce GTX 1650,0,4,6299,SSD固态硬盘>,2.2Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,巧克力键盘>，RGB可调背光键盘，1.8mm键程,1,"游戏本,影音娱乐本,",1,0,0,1,0,http://detail.zol.com.cn/1269/1268272/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/09/05/ChMlWVy2oUCICy11AAFyQ2Qc9LEAAJfSQJl3owAAXJb288.jpg
8,8,ThinkPad X1 隐士,Intel 酷睿i7 8750H,i7,16,512GB,NVIDIA GeForce GTX 1050 Ti Max-Q,0,4,13999,SSD固态硬盘>,1.7Kg,15小时左右，视具体使用环境而定长续航笔记本>,medium,15.6,long,True,背光键盘,1,"轻薄笔记本,商务办公本,创意设计PC,",0,1,1,0,0,http://detail.zol.com.cn/1231/1230012/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/04/00/ChMkJlufDPqIN8LnAACy-vrQZlcAArxBAL0GYYAALMS351.jpg
9,9,荣耀MagicBook Pro 2020款,Intel 酷睿i5 10210U,i5,16,512GB,NVIDIA Geforce MX350,0,2,5999,SSD固态硬盘>,1.7Kg,11.5小时左右，视具体使用环境而定长续航笔记本>,medium,16.1,long,True,背光键盘，全尺寸键盘>，孤岛式巧克力键盘,1,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1323/1322568/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/06/09/ChMlWl7CfEaISxfGAAEDtVH5Sg8AAPPegGn6qgAAQPN193.jpg
