id,brand,name,year,cpu_rank,cpu,ram,disk,is_rtx,gpu,gpu_memory,price,disk_detail,weight,weight_type,battery,battery_life,screen_size,has_camere,keyboard_haslight,keyboard,video_type,thin_type,business_type,game_type,is_apple,description,link,img_src,class
0,HUAWEI,华为HUAWEI MateBook 14,2020,7,Intel 酷睿i7 10510U,16,512GB,0,NVIDIA Geforce MX250,2,7399,固态硬盘,1.53Kg,medium,15小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,背光键盘，全尺寸巧克力键盘,0,1,1,0,0,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1311/1310254/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/0D/ChMlWV44-lCIKfnKAADRJrmMDSsAANM_gFmm6AAANE-562.jpg,0
1,惠普,惠普暗影精灵5 OMEN,2019,7,Intel 酷睿i7 9750H,8,512GB,RTX2060,NVIDIA GeForce RTX 2060,6,8499,PCIe NVMe M.2 SSD固态硬盘,2.32Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,带数字小键盘的全尺寸岛式火龙红传奇2区照明红背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1236/1235182/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/00/0F/ChMlWVzasnKIT4eLAADfKydxcw0AAJ9kwEI1ZUAAN9D112.jpg,4
2,联想,联想小新 Pro 13,2019,0,0,0,No description,0,No description,0,0,0,1.28Kg,medium,9.5小时左右，视具体使用环境而定,long,0,TRUE,0,NO SPECIAL,0,0,0,0,0,0,http://detail.zol.com.cn/1292/1291172/param.shtml,//icon.zol-img.com.cn/param20140526/16/36.jpg,2
3,戴尔,戴尔G7游戏本 G7,2019,7,Intel 酷睿i7 8750H,8,128GB+1T,RTX2060,NVIDIA GeForce RTX 2060,6,13299,混合硬盘（SSD+5400转HDD）>,2.62Kg,heavy,视具体使用环境而定长续航笔记本>,0,0,TRUE,1,RGB背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1251/1250357/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0F/06/ChMlWV0tmeGIOLhFAAFmdtBlJHkAAL2-ADE17sAAWaO749.jpg,4
4,戴尔,戴尔XPS 17 XPS,2020,7,Intel 酷睿i7 10875H,16,512GB,RTX2060,NVIDIA GeForce RTX 2060 Max-Q,6,23999,SSD固态硬盘>,2.51Kg,heavy,23小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,背光键盘,0,1,1,0,0,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1328/1327567/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g3/M02/0C/09/ChMlV17jLvmIdLzEAAEvnbFagdsAAUrmQN3RzYAAS-1474.jpg,3
5,戴尔,戴尔XPS 17 XPS,2020,7,Intel 酷睿i7 10875H,16,512GB,RTX2060,NVIDIA GeForce RTX 2060 Max-Q,6,23999,SSD固态硬盘>,2.51Kg,heavy,23小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,背光键盘,0,1,1,0,0,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1328/1327567/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g3/M02/0C/09/ChMlV17jLvmIdLzEAAEvnbFagdsAAUrmQN3RzYAAS-1474.jpg,3
6,华硕,华硕飞行堡垒7 i7,2019,7,Intel 酷睿i7 9750H,8,512GB,0,NVIDIA GeForce GTX 1650,4,6299,SSD固态硬盘>,2.2Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,巧克力键盘>，RGB可调背光键盘，1.8mm键程,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1269/1268272/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/09/05/ChMlWVy2oUCICy11AAFyQ2Qc9LEAAJfSQJl3owAAXJb288.jpg,0
7,荣耀,荣耀MagicBook Pro 2020款,2020,5,Intel 酷睿i5 10210U,16,512GB,0,NVIDIA Geforce MX350,2,5999,SSD固态硬盘>,1.7Kg,medium,11.5小时左右，视具体使用环境而定长续航笔记本>,long,16.1,TRUE,1,背光键盘，全尺寸键盘>，孤岛式巧克力键盘,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1323/1322568/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/06/09/ChMlWl7CfEaISxfGAAEDtVH5Sg8AAPPegGn6qgAAQPN193.jpg,0
8,微软,微软Surface Pro 7,2019,3,Intel 酷睿i3 1005G1,4,128GB,0,Intel UHD Graphics,0,5788,SSD固态硬盘>,775g,light,10.5小时左右，视具体使用环境而定长续航笔记本>,long,12.3,TRUE,0,可拆卸键盘>,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1296/1295285/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g4/M05/0C/04/ChMlzF2WnkKIf25fAABvPZx2hA8AAX_cgIYRxkAAG9V445.jpg,0
9,Alienware,Alienware Area-51m,2019,9,Intel 酷睿i9 9900K,32,1TB+1T,RTX2080,NVIDIA GeForce RTX 2080,8,43999,混合硬盘（2×512GB SSD+5400转HDD）,0,0,视具体使用环境而定长续航笔记本>,0,17.3,TRUE,0,NO SPECIAL,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1250/1249925/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/0C/ChMlWV1LLLaIIOVsAACRx6D5ksgAAMcUQBo2zwAAJHf619.jpg,1
